@@,name,position
---,Ziyambi Ziyambi,Minister of Justice and Legal Affairs
---,Winston Chitando,Minister of Mines and Mining Development
---,Soda Zhemu,Minister of Energy and Power Development
---,Sithembiso Nyoni,"Minister of Women's Affairs, Gender and Community Development"
---,Sekai Nzenza-Shand,Minister of Industry and Commerce
---,Paul Mavima,"Minister of Public Service, Labour and Social Welfare"
---,Oppah Muchinguri,Defence Minister of Zimbabwe
---,Nqobizitha Ndlovu,"Minister of the Environment, Climate Change, Tourism, and International Trade"
---,Mthuli Ncube,Finance Minister
---,Monica Mutsvangwa,Minister of Information and Publicity
---,Kirsty Coventry,"Minister of Sport, Arts and Recreation"
---,Kazembe Kazembe,Minister of Home Affairs
---,July Moyo,Minister of Public Works
---,Jenfan Muswere,Minister of Information and Communications Technology
---,Frederick Shava,Foreign minister of Zimbabwe
---,Felix Mhona,Minister of Transport and Infrastructural Development
---,Evelyn Ndlovu,Minister of Primary and Secondary Education
---,Emmerson Mnangagwa,President of Zimbabwe
---,Daniel Garwe,Minister of National Housing and Social Amenities
---,Constantine Chiwenga,Vice President of Zimbabwe
---,Constantine Chiwenga,Minister of Health and Child Welfare
---,Anxious Jongwe Masuka,Minister of Agriculture of Zimbabwe
---,Amon Murwira,"Minister of Higher Education, Science and Technology"
