pageid,title,wikidata,label
915950,Kirsty Coventry,Q274009,Kirsty Coventry
6390734,Emmerson Mnangagwa,Q510523,Emmerson Mnangagwa
14022394,Oppah Muchinguri,Q7095508,Oppah Muchinguri
14931754,Nicholas Kitikiti,Q16730898,Nicholas Kiti kiti
15622111,Sithembiso Nyoni,Q16733535,Sithembiso Nyoni
16700961,Elson Moyo,Q5367709,Elson Moyo
18787068,Priscilla Misihairabwi-Mushonga,Q7245611,Priscilla Misihairabwi-Mushonga
25728560,Constantine Chiwenga,Q381334,Constantine Chiwenga
30208297,Bharat Patel,Q4901142,Bharat Patel
30863116,Sekai Nzenza,Q7447120,Sekai Nzenza-Shand
34531439,Philip Valerio Sibanda,Q7184496,Philip Valerio Sibanda
41732796,Mthuli Ncube,Q15999920,Mthuli Ncube
48394849,Mike Nicholas Sango,Q21296087,Mike Nicholas Sango
51651303,John Mangudya,Q26935194,John Mangudya
55911030,Auxillia Mnangagwa,Q43962933,Auxillia Mnangagwa
58040031,Luke Malaba,Q56222237,Luke Malaba
58308960,Jacob Mudenda,Q58007739,Jacob Mudenda
59897291,Anne-Marie Gowora,Q61646493,Marie-Anne Gowora
60323445,Stuart Comberbach,Q62398090,Stuart Comberbach
63076098,July Moyo,Q85772479,July Moyo
63109172,Mangaliso Ndlovu,Q85115570,Nqobizitha Ndlovu
63110022,Monica Mutsvangwa,Q85118775,Monica Mutsvangwa
63143801,Ziyambi Ziyambi,Q85678984,Ziyambi Ziyambi
63146969,Paul Mavima,Q85678901,Paul Mavima
63156158,Amon Murwira,Q85748517,Amon Murwira
63163274,Kazembe Kazembe,Q85850886,Kazembe Kazembe
63272251,Winston Chitando,Q87110935,Winston Chitando
63349377,Lavender Makoni,Q87758093,Lavender Makoni
63880143,Mabel Chinomona,Q93452160,Mabel Chinomona
64002020,Herbert Gomba,Q94730351,Herbert Gomba
64018385,Vangelis Haritatos,Q94973458,Vangelis Haritatos
64472164,Daniel Garwe,Q97154086,Daniel Garwe
65228940,Ruth Masodzi Chikwira,Q99237213,Ruth Masodzi Chikwira
65242950,Soda Zhemu,Q98931496,Soda Zhemu
65254696,Anxious Jongwe Masuka,Q99237454,Anxious Jongwe Masuka
66675206,Frederick Shava,Q105637570,Frederick Shava
66690994,Alice Mashingaidze,Q104963353,Alice Mashingaidze
70559148,Elizabeth Gwaunza,Q13576447,Elizabeth Gwaunza
