wdid,name,wdLabel,source,sourceDate,pid,position,start,psid
Q105637570,Frederick Shava,Frederick Shava,,,Q99228278,Foreign minister of Zimbabwe,2021-02-08,Q105637570-56E5E36F-6B63-4C74-AC1B-CAF7FC83A09B
Q105649282,Felix Mhona,Felix Mhona,,,Q110197636,Ministry of Transport and Infrastructural Development,2021-02-08,Q105649282-18309F3D-0098-4CAD-B88A-61621989C2D1
Q110197420,Jenfan Muswere,Jenfan Muswere,,,Q110197091,Ministry of Information and Communications Technology,2019-11-08,Q110197420-8C0B7F73-DE47-4AB3-84AE-0068A877F296
Q110197487,Evelyn Ndlovu,Evelyn Ndlovu,,,Q110197180,Minister of Primary and Secondary Education,2019-11-08,Q110197487-F83C8F9D-1E01-4A49-8B0C-2FD7A67AFA55
Q15999920,Mthuli Ncube,Mthuli Ncube,https://en.wikipedia.org/wiki/Mthuli_Ncube,2021-12-19,Q56042032,Minister of Finance and Economic Development of Zimbabwe,2018-09-10,Q15999920-6568CFB3-5328-46CD-9F0B-28D40647C33B
Q16733535,Sithembiso Nyoni,Sithembiso Nyoni,,,Q110197109,"Ministry of Women's Affairs, Gender and Community Development",2017-12-01,Q16733535-146DD138-940D-44E3-8BE5-258080C4C4D6
Q274009,Kirsty Coventry,Kirsty Coventry,https://en.wikipedia.org/wiki/Kirsty_Coventry,2021-12-19,Q110197740,"Ministry of Sport, Arts and Recreation",2018-09-10,Q274009-239E1FC8-F0D2-4B3D-ACB9-82CAC6AC93BB
Q381334,Constantine Chiwenga,Constantine Chiwenga,https://en.wikipedia.org/wiki/Constantine_Chiwenga,2021-12-19,Q110197078,Ministry of Health and Child Welfare,2020-08-04,Q381334-4E9AE6BA-2487-4D8F-8C79-30EA457A93CD
Q381334,Constantine Chiwenga,Constantine Chiwenga,,,Q4261844,Vice President of Zimbabwe,2017-12-28,Q381334-e3dca75c-54ae-47fc-a057-60211898380f
Q510523,Emmerson Mnangagwa,Emmerson Mnangagwa,,,Q19056184,President of Zimbabwe,2017-11-24,Q510523-a2c9929c-47ee-86bf-f885-21ea4591abf8
Q7095508,Oppah Muchinguri,Oppah Muchinguri,,,Q99228631,Defence Minister of Zimbabwe,2018-09-11,Q7095508-bc9a372c-4d5c-7aeb-c0d1-4dcffc866501
Q7447120,Sekai Nzenza-Shand,Sekai Nzenza-Shand,,,Q110197401,Minister of Industry and Commerce,2019-11-08,Q7447120-F9E6B617-3150-400A-89F5-50B75FB5F0D5
Q85115570,Nqobizitha Ndlovu,Nqobizitha Ndlovu,,,Q110197142,"Minister of the Environment, Climate Change, Tourism, and International Trade",2019-11-09,Q85115570-C0FDA8B1-B468-4D4C-86EC-59F1CABE21E2
Q85118775,Monica Mutsvangwa,Monica Mutsvangwa,,,Q110197082,Ministry of Information and Publicity,2018-08-01,Q85118775-5E8BA31A-848C-447E-94F6-C264F5C9C90C
Q85678901,Paul Mavima,Paul Mavima,https://en.wikipedia.org/wiki/Paul_Mavima,2021-12-19,Q110197171,"Ministry of Public Service, Labour and Social Welfare",2019-11-08,Q85678901-2B00F4E8-272A-41F2-BD2F-71970520470E
Q85678984,Ziyambi Ziyambi,Ziyambi Ziyambi,,,Q110197096,Ministry of Justice and Legal Affairs,2018-08-01,Q85678984-C23AE8C5-1865-4817-A38E-E4071B01A26B
Q85748517,Amon Murwira,Amon Murwira,,,Q110197100,"Ministry of Higher Education, Science and Technology",2017-12-01,Q85748517-048EB086-4D64-432C-BB8A-9C8F9E426E2C
Q85772479,July Moyo,July Moyo,,,Q110197458,Ministry of Public Works,2017-11-01,Q85772479-2A9E684D-55F6-4BFE-BE39-EB8ABEB3D929
Q85850886,Kazembe Kazembe,Kazembe Kazembe,,,Q110197079,Ministry of Home Affairs,2019-11-08,Q85850886-0F706106-97B0-48B3-9376-7CA8B545A83D
Q87110935,Winston Chitando,Winston Chitando,,,Q110197469,Ministry of Mines and Mining Development,2017-12-01,Q87110935-38D288B5-F7DC-4D64-A83A-B23F7239C4FA
Q97154086,Daniel Garwe,Daniel Garwe,,,Q110197478,Minister of National Housing and Social Amenities,2019-11-08,Q97154086-4D7E05A4-A99A-4883-8868-2971E2913B2D
Q98931496,Soda Zhemu,Soda Zhemu,,,Q110197124,Ministry of Energy and Power Development,2020-08-14,Q98931496-654E2A25-7D18-4644-B0A3-F83C98BD2C90
Q99237454,Anxious Jongwe Masuka,Anxious Jongwe Masuka,,,Q110197452,"Minister of Lands, Agriculture, Water and Rural Resettlement",2020-08-14,Q99237454-496BF13F-C234-442E-A2F4-FFED619D91E3
